© Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;
;;;;;;;;;;
Alphabetisches Verzeichnis der Wahlbewerber zur Bundestagswahl 2013;;;;;;;;;;
;;;;;;;;;;
Name, Vorname;Geburtsjahr;Beruf;Berufsschlüssel;Geschlecht;Partei;Land;Platz;Wahlkreis;"Gewählt: 1=über Wkr; 2=über LL";
Behrens, Eiko;1971;Architekt;60;1;AfD;BE;3;;0;
Behrens, Hans-Peter;1961;Diplom-Ingenieur Elektrotechnik;60;1;GRÜNE;BW;38;;0;
Behrens, Herbert;1954;MdB, Gewerkschaftssekretär;76;1;DIE LINKE;NI;4;34;2;
Behrens, Manfred;1956;Mitglied des Deutschen Bundestages;76;1;CDU;ST;4;67;1;
Beier, Andreas;1971;Polizeihauptkommissar, Sozialwissenschaftler;80;1;Anderer KWV;;;291;0;
Beier, Julian Pascal;1994;Schüler;94;1;PIRATEN;;;263;0;
Beier, Klaus;1966;Kaufmännischer Angestellter;78;1;NPD;BB;1;63;0;
Beitlich, Sebastian;1977;Diplom-Informatiker(FH);77;1;PIRATEN;TH;5;;0;
Bell, Dr. Carl-Martin;1957;Professor;87;1;FREIE WÄHLER;BW;24;;0;
Bella, Istvan;1945;Rentner;95;1;ÖDP;NW;15;;0;
Bellack, Arnold;1934;Selbständig;99;1;pro Deutschland;SL;3;;0;
Bellmann, Veronika Maria;1960;Mitglied des Deutschen Bundestages;76;2;CDU;SN;7;161;1;
Belz, Kristian;1978;Industriekaufmann;78;1;NPD;MV;9;;0;
Belz, Tim;1990;Maler und Lackierer;51;1;NPD;;;293;0;
Bender, Birgitt;1956;Mitglied des Deutschen Bundestages;76;2;GRÜNE;BW;11;259;0;
Bender, Julian;1985;Student;94;1;SPD;BW;39;;0;
Bender, Katja;1972;Diplom-Pädagogin, Sprachtherapeutin;85;2;GRÜNE;NW;29;143;0;
Bender, Rüdiger;1960;Lehrbeauftragter;87;1;GRÜNE;;;190;0;
Benecke, Dr. Mark;1970;Biologe;88;1;Die PARTEI;NW;1;;0;
Benecke, Johann;1986;Verwaltungsbeamter;78;1;Die PARTEI;HH;15;;0;
Benedikter, Manfred;1981;Automobilkaufmann;67;1;CDU;BW;52;;0;
Benkert, Daniel Udo;1976;Student;94;1;Die PARTEI;NW;11;;0;
Benkowitsch, Emmerich;1955;Diplom-Ingenieur (FH) Maschinenbau;60;1;FREIE WÄHLER;BW;17;262;0;
Benndorf, Klaus;1954;Vermessungsingenieur;60;1;PIRATEN;;;96;0;
Benning, Sybille Maria Ursula;1961;Diplom-Ingenieurin Landschaftsplanung;5;2;CDU;NW;31;129;1;
Benz, Markus;1955;Jurist;81;1;DIE VIOLETTEN;;;281;0;
Benz, Rolf;1949;Kriminalbeamter a.D.;95;1;pro Deutschland;HE;5;;0;
Benzel, Prof. Dr. Wolfgang;1967;Steuerberater, Hochschullehrer;75;1;CDU;RP;39;;0;
Ber, Dieter Josef;1941;Unternehmensberater, Rentner;95;1;AfD;NW;33;;0;
Berberich, Alexander Wanja;1989;Student;94;1;Die PARTEI;HB;7;;0;
Berberich, Patrick;1979;Diplom-Bauingenieur (FH);60;1;CDU;RP;34;;0;
Berbig, Miro Volker;1964;IT-Consultant;77;1;DIE LINKE;;;8;0;
Berg van den, Wiebke;1987;Angestellte im öffentlichen Dienst;78;2;PIRATEN;;;124;0;
Berg, Dr. Hans-Joachim;1948;Jurist;81;1;AfD;BE;5;79;0;
Berg, Lars;1966;Public-Relations-Berater;70;1;AfD;BW;9;;0;
Berg, Ronald;1966;Vermögensberater;69;1;FREIE WÄHLER;HE;13;;0;
Berger, Frank;1976;Rechtsanwalt;81;1;FDP;BW;28;291;0;
Berger, Maren Babet;1968;Studienrätin;87;2;GRÜNE;SH;9;;0;
Berghegger, Dr. Andre;1972;Jurist;81;1;CDU;NI;21;38;1;
Bergholz, Andreas;1992;Verwaltungsangestellter;78;1;PIRATEN;BW;24;287;0;
Bergmann, Thomas;1966;Lehrer;87;1;ÖDP;BW;16;294;0;
Bergner, Dr. Christoph Georg;1948;Hochschulagraringenieur;3;1;CDU;ST;2;72;1;
Berha, Nikolaus;1945;Informatiker;77;1;NPD;;;181;0;
Bering, Axel;1962;Bankfachwirt;69;1;FDP;BE;5;;0;
Berkhan, Monika;1956;Projektleiterin;75;2;GRÜNE;NI;17;45;0;
Berkhout, Volker;1981;Diplom-Wirtschafts-Ingenieur;60;1;PIRATEN;HE;1;168;0;
Berlingen, Ralf;1967;Hotelier;91;1;FDP;RP;16;;0;
Berndt, Dr. Michael-Tillmann;1956;Physiker;61;1;PIRATEN;NI;7;;0;
Berndt, Wolfgang Herbert Josef;1949;Sozialwirt;88;1;DIE LINKE;;;232;0;
Bernhard, Bettina;1961;Kaufmännische Angestellte;78;2;FREIE WÄHLER;NW;3;101;0;
Berns, Wolfgang;1948;Kaufmann;78;1;FDP;HE;11;172;0;
Bernschneider, Florian;1986;MdB, Betriebswirt;76;1;FDP;NI;4;50;0;
Bernshausen, Ina Nadine;1979;Richterin;81;2;GRÜNE;HE;9;;0;
