# (c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Berufsschlüssel;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur;"Gewählt: 1=über Wkr; 2=über LL"
;;Seidler;Susanne;w;1970;Herzberg (Elster);Herzberg (Elster);Sekretärin;71;;;;;;BB;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;4;;0
;;Seidl-Schulz;Klaus Georg Hermann;m;1954;Bad Abbach;Bad Abbach;Landwirtschaftsmeister;11;;;;;;BY;FREIE WÄHLER;FREIE WÄHLER;44;;0
;;Seif;Detlef;m;1962;Weilerswist;Euskirchen;MdB;71;NW;92;Euskirchen – Rhein-Erft-Kreis II;CDU;Christlich Demokratische Union Deutschlands;NW;CDU;Christlich Demokratische Union Deutschlands;48;X;1
Prof. Dr.;;Seiferlein;Alfred;m;1958;Ansbach;Ansbach;Hochschullehrer;84;;;;;;BY;CSU;Christlich-Soziale Union in Bayern e.V.;68;;0
;;Seifert;Petra Hannelore Michaela;w;1959;Altdorf;Naila;selbst. Organisationsberaterin;71;BY;228;Landshut;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BY;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;32;;0
;;Seipel;Bernward;m;1951;Rodeberg;Struth;Ingenieur für Baustofftechnologie;41;;;;;;TH;ÖDP;Ökologisch-Demokratische Partei;4;;0
;;Seipp;Marianne;w;1980;Berlin;Berlin;Hausfrau;6;BE;85;Berlin-Marzahn-Hellersdorf;Die Grauen;Die Grauen – Für alle Generationen;;;;;;0
;;Seitz;Andreas;m;1967;Passau;Passau;Studiendirektor / Dipl.-Ingenieur;84;BY;229;Passau;ÖDP;Ökologisch-Demokratische Partei;;;;;;0
;;Seitz;Thomas;m;1967;Lahr/Schwarzwald;Ettenheim;Rechtsassessor;73;BW;283;Emmendingen – Lahr;AfD;Alternative für Deutschland;BW;AfD;Alternative für Deutschland;5;;2
Dr.;;Seitz-Hoffmann;Gabriela;w;1952;Hohenpeißenberg;Nürnberg;Politikwissenschaftlerin;91;BY;226;Weilheim;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BY;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;36;;0
;;Selbmann;Angelika;w;1963;München;München;Sekretärin;71;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;25;;0
;;Selle;Johannes;m;1956;Sondershausen;Lobenstein;MdB;41;TH;191;Jena – Sömmerda – Weimarer Land I;CDU;Christlich Demokratische Union Deutschlands;TH;CDU;Christlich Demokratische Union Deutschlands;7;X;1
;;Selzer;Herwig Johannes;m;1958;Cölbe;Leutershausen;Dipl.-Politologe;91;;;;;;HE;DKP;Deutsche Kommunistische Partei;18;;0
;;Selzer;Martina;w;1964;Wildeck;Jugenheim;selbständig;9;HE;169;Werra-Meißner – Hersfeld-Rotenburg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Selzer;René;m;1961;Riegelsberg;Merzig;Industriekaufmann;71;;;;;;SL;AfD;Alternative für Deutschland;5;;0
;;Semmerau;Bernd;m;1954;Ahrensfelde;Berlin;Busfahrer;52;;;;;;BB;BGE;Bündnis Grundeinkommen;6;;0
;;Semmler;Diego;m;1986;Laubach;Lich;wiss. Mitarbeiter;84;HE;173;Gießen;FREIE WÄHLER;FREIE WÄHLER;HE;FREIE WÄHLER;FREIE WÄHLER;9;;0
;;Semmler;Hans-Peter;m;1978;Bad Boll;Göppingen;Geschäftsführer;71;BW;263;Göppingen;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;30;;0
;;Semrau;Björn Niklas;m;1978;Darmstadt;Seeheim-Jugenheim;Politikwissenschaftler;91;;;;;;HE;PIRATEN;Piratenpartei Deutschland;7;;0
;;Semsrott;Nico;m;1986;Hamburg;Hamburg;Demotivationstrainer;71;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;1;;0
;;Sendelbach;Klara;w;1998;Saarbrücken;Saarbrücken;Schülerin;4;;;;;;SL;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;6;;0
;;Sendker;Reinhold;m;1952;Ennigerloh;Warendorf;MdB / Studiendirektor a. D.;71;NW;130;Warendorf;CDU;Christlich Demokratische Union Deutschlands;;;;;X;1
;;Senf;Ines;w;1958;Seebach;Eisenach;Rentnerin;5;;;;;;TH;FREIE WÄHLER;FREIE WÄHLER;5;;0
;;Senger;Joachim;m;1949;Donaueschingen;Reutlingen;Unternehmensberater i. R.;5;BW;286;Schwarzwald-Baar;AfD;Alternative für Deutschland;BW;AfD;Alternative für Deutschland;12;;0
;;Senges;Norbert;m;1962;Warburg;Kassel;Lehrer;84;NW;136;Höxter – Lippe II;AfD;Alternative für Deutschland;;;;;;0
;;Sensburg;Patrick Ernst Hermann;m;1971;Brilon;Paderborn;MdB / Hochschullehrer;71;NW;147;Hochsauerlandkreis;CDU;Christlich Demokratische Union Deutschlands;;;;;X;1
;;Sequeira Gerardo;Benedikt;m;1986;Berlin;Bad Soden am Taunus;Gebärdensprachdolmetscher;71;;;;;;BE;DiB;DEMOKRATIE IN BEWEGUNG;2;;0
;;Setter;Manfred Johannes;m;1952;Schweinfurt;Schweinfurt;Rentner;5;BY;250;Schweinfurt;MLPD;Marxistisch-Leninistische Partei Deutschlands;BY;MLPD;Marxistisch-Leninistische Partei Deutschlands;13;;0
;;Seufzger;Klaus;m;1982;Dingolfing;Landshut;Ingenieur;27;BY;230;Rottal-Inn;ÖDP;Ökologisch-Demokratische Partei;;;;;;0
;;Seybold;Rainer;m;1964;Esslingen am Neckar;Geislingen an der Steige;Vertriebsleiter;61;;;;;;BW;BGE;Bündnis Grundeinkommen;15;;0
;;Seydel;Olaf Martin Michael Peter;m;1980;Hamburg;Braunschweig;Senior Dataanalyst;43;;;;;;HH;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;17;;0
;;Seyfarth;Christine;w;1983;Düsseldorf;Gotha;Dipl.-Medienwissenschaftlerin;91;;;;;;NW;DiB;DEMOKRATIE IN BEWEGUNG;10;;0
;;Seyfert;Karin Eva Sigrid;w;1956;Homburg;Mainz;Pflegepädagogin;84;;;;;;SL;FDP;Freie Demokratische Partei;6;;0
;;Seyffer;Martin;m;1952;Wiesbaden;Stuttgart;Statiker;31;;;;;;HE;MLPD;Marxistisch-Leninistische Partei Deutschlands;12;;0
Dr.;;Sharityar;Mohammed;m;1981;Tübingen;Sadran;Arzt;81;;;;;;BW;DiB;DEMOKRATIE IN BEWEGUNG;2;;0
;;Sichert;Martin Johannes;m;1980;Nürnberg;Nürnberg;Dipl.-Kaufmann;71;BY;244;Nürnberg-Nord;AfD;Alternative für Deutschland;BY;AfD;Alternative für Deutschland;5;;2
Prof. Dr.;;Siebdrat;Hermann;m;1960;Siegen;Siegen;Hochschullehrer;84;NW;148;Siegen-Wittgenstein;FDP;Freie Demokratische Partei;;;;;;0
;;Sieber;Andrea;w;1977;Schorndorf;Essen;Erzieherin;83;BW;264;Waiblingen;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;17;;0
;;Sieber;Elisabeth Maria;w;1967;Aschau a.Inn;Mühldorf a.Inn;Altenpflegerin;82;BY;212;Altötting;ÖDP;Ökologisch-Demokratische Partei;;;;;;0
;;Siebert;Bernd;m;1949;Gudensberg;Gudensberg;selbst. Kaufmann;61;HE;170;Schwalm-Eder;CDU;Christlich Demokratische Union Deutschlands;HE;CDU;Christlich Demokratische Union Deutschlands;5;X;0
;;Siebert;Georg;m;1949;Eckernförde;Bremen;Industriedesigner;93;;;;;;SH;ÖDP;Ökologisch-Demokratische Partei;5;;0
;;Siebig;Martin;m;1971;Mulfingen;Mannheim;Hotelmeister;63;;;;;;BW;PIRATEN;Piratenpartei Deutschland;10;;0
;;Siebold;Nadine;w;1981;Küssaberg;Waldshut-Tiengen;Geschäftsführerin;71;;;;;;BW;AfD;Alternative für Deutschland;28;;0
;;Siebold;Philip;m;1998;Celle;Celle;Schüler;4;NI;44;Celle – Uelzen;FREIE WÄHLER;FREIE WÄHLER;;;;;;0
;;Siefert;Lennart;m;1981;Lahnstein;Lahnstein;Polizeibeamter;53;;;;;;RP;FREIE WÄHLER;FREIE WÄHLER;16;;0
;;Siegemund;Doreen;w;1969;Schwerin;Schwerin;Geschäftsführerin;71;;;;;;MV;FDP;Freie Demokratische Partei;4;;0
;;Siegemund;Jan;m;1993;Erfurt;Sömmerda;Student;4;TH;191;Jena – Sömmerda – Weimarer Land I;FDP;Freie Demokratische Partei;TH;FDP;Freie Demokratische Partei;5;;0
;;Siegert;Patrick Hans-Peter;m;1991;Mannheim;Mannheim;Student;4;BW;275;Mannheim;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;BW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;12;;0
;;Siegert;Sagitta Barbara;w;1982;Essen;Oberhausen;Angestellte;71;;;;;;NW;MLPD;Marxistisch-Leninistische Partei Deutschlands;14;;0
;;Sieling;Claudia Marie Marianne;w;1965;Landau in der Pfalz;Nienburg (Weser);Dipl.-Kulturpädagoge / Suchttherapeutin;91;;;;;;RP;SPD;Sozialdemokratische Partei Deutschlands;16;;0
;;Siemund;Florian;m;1994;Mainz;Heidelberg;Student;4;;;;;;RP;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;7;;0
;;Sienhold;Michael;m;1985;Hamburg;Eisenach;Geisteswissenschaftler;91;;;;;;HH;BGE;Bündnis Grundeinkommen;9;;0
;;Siering;Nathanael;m;1987;Berlin;Emmendingen;Softwareentwickler;43;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;63;;0
;;Siggelkow;Fabian Tobias;m;1984;Bremen;Bremen;Flaschensammler;6;HB;54;Bremen I;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;HB;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;8;;0
;;Silberhorn;Thomas;m;1968;Hirschaid;Kemmern;MdB / parl. Staatssekretär;71;BY;236;Bamberg;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;12;X;1
;;Silbersack;Andreas;m;1967;Halle (Saale);Halle (Saale);Rechtsanwalt;73;ST;74;Mansfeld;FDP;Freie Demokratische Partei;ST;FDP;Freie Demokratische Partei;3;;0
;da;Silva;Paulo;m;1968;Warendorf;Carrazeda De Ansiaes, Portugal;Network Engineer;43;NW;130;Warendorf;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;;;0
;Freifrau Tucher von;Simmelsdorf;Constanze;w;1960;Friedberg;Augsburg;Studienrätin;84;BY;253;Augsburg-Land;ÖDP;Ökologisch-Demokratische Partei;;;;;;0
;;Simon;Ansgar;m;1964;Höxter;Hildesheim;Rentner;5;;;;;;NW;DIE LINKE;DIE LINKE;26;;0
;;Simon;Björn Manuel;m;1981;Obertshausen;Offenbach am Main;Politikwissenschaftler;91;HE;185;Offenbach;CDU;Christlich Demokratische Union Deutschlands;HE;CDU;Christlich Demokratische Union Deutschlands;22;;1
;;Simon;Christian;m;1968;Krefeld;Zürich, Schweiz;IT-Berater;43;;;;;;NW;BGE;Bündnis Grundeinkommen;23;;0
;;Simon;Michael;m;1971;Pfaffen-Schwabenheim;Bad Kreuznach;Dipl.-Sozialpädagoge;83;;;;;;RP;SPD;Sozialdemokratische Partei Deutschlands;25;;0
;;Simon;Peter Michael;m;1938;Schönebeck (Elbe);Dresden;Dipl.-Ingenieur;27;;;;;;ST;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;8;;0
;;Singh;Harivender;m;1954;Magdeburg;Dayal Raj Put, Indien;Kaufmann;61;;;;;;ST;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;3;;0
Dr.;;Sirois;Herbert;m;1965;Feuchtwangen;Feuchtwangen;Historiker;91;BY;241;Ansbach;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BY;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;41;;0
;;Sitta;Frank;m;1978;Halle (Saale);Sangerhausen;Geschäftsführer;71;ST;72;Halle;FDP;Freie Demokratische Partei;ST;FDP;Freie Demokratische Partei;1;;2
Dr.;;Sitte;Petra;w;1960;Halle (Saale);Dresden;Dipl.-Ökonomin;71;ST;72;Halle;DIE LINKE;DIE LINKE;ST;DIE LINKE;DIE LINKE;1;X;2
;;Skobjin;Christian;m;1986;Mannheim;Henstedt-Ulzburg;Angestellter;71;;;;;;BW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;6;;0
;;Skudelny;Judith;w;1975;Leinfelden-Echterdingen;Stuttgart;Rechtsanwältin;73;BW;258;Stuttgart I;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;2;;2
;;Slave;Günter;m;1955;Dresden;Ulm;Maschinenschlosser;24;SN;160;Dresden II – Bautzen II;MLPD;Marxistisch-Leninistische Partei Deutschlands;SN;MLPD;Marxistisch-Leninistische Partei Deutschlands;1;;0
;;Smirnow;Maxim;m;1998;Kiel;Kiel;Student;4;SH;5;Kiel;DIE LINKE;DIE LINKE;;;;;;0
;;Smuda;Jörg Stefan;m;1977;Dresden;Cottbus;Dipl.-Ingenieur;27;SN;159;Dresden I;PIRATEN;Piratenpartei Deutschland;SN;PIRATEN;Piratenpartei Deutschland;5;;0
;;Snelinski;Oliver;m;1980;Berlin;Rüdersdorf bei Berlin;Lehrer;84;BE;86;Berlin-Lichtenberg;EB: Snelinski;parteifrei und bürgerbestimmt;;;;;;0
;;Sobek;Jörg;m;1963;Wiesbaden;Wiesbaden;Kaufmann;61;;;;;;HE;PIRATEN;Piratenpartei Deutschland;22;;0
;;Sobierei;Herbert;m;1948;Großenkneten;Lünen;Elektroingenieur i. R.;5;NI;28;Delmenhorst – Wesermarsch – Oldenburg-Land;AfD;Alternative für Deutschland;;;;;;0
;;Sobolewski;Jörg;m;1989;Berlin;Leverkusen;Student;4;;;;;;BE;AfD;Alternative für Deutschland;7;;0
;;Soffel;Andrej;m;1976;Trier;Trier;Fremdsprachenkorrespondent;71;RP;203;Trier;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;;;0
;;Soldan;Hermann;m;1961;Flensburg;Berlin;Lehrer;84;SH;1;Flensburg – Schleswig;DIE LINKE;DIE LINKE;;;;;;0
;;Söllner;Eva;w;1960;Liederbach am Taunus;Hof (Saale);Bürgermeisterin;71;;;;;;HE;CDU;Christlich Demokratische Union Deutschlands;36;;0
Dr.;;Solms;Hermann Otto;m;1940;Lich;Lich;selbständig;9;HE;173;Gießen;FDP;Freie Demokratische Partei;HE;FDP;Freie Demokratische Partei;3;;2
Dr.;;Solms;Karl Michael;m;1951;Duisburg;Eiserfeld;Pensionär;5;NW;116;Duisburg II;AfD;Alternative für Deutschland;;;;;;0
;;Sölter;Nicolas;m;1988;Elmshorn;Elmshorn;Rechtsreferendar;73;;;;;;SH;CDU;Christlich Demokratische Union Deutschlands;15;;0
;;Sommer;Evrim;w;1971;Berlin;Varto, Türkei;wiss. Mitarbeiterin;84;;;;;;BE;DIE LINKE;DIE LINKE;5;;2
;;Sommer;Jan;m;1970;Müncheberg;Düsseldorf;Bauer;11;BB;59;Märkisch-Oderland – Barnim II;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;4;;0
;;Sommer;Klaus Dieter;m;1947;Pohlheim;Frankfurt am Main;Dipl.-Ingenieur;27;;;;;;HE;FREIE WÄHLER;FREIE WÄHLER;24;;0
;;Sommer;Mario;m;1969;Langenberg;Großröhrsdorf;Techniker;27;;;;;;NW;DM;Deutsche Mitte;6;;0
;;Sommer;Torsten;m;1971;Dortmund;Hagen-Haspe;Groß- und Außenhandelskaufmann;23;NW;142;Dortmund I;PIRATEN;Piratenpartei Deutschland;NW;PIRATEN;Piratenpartei Deutschland;3;;0
;;Sommerer;Sebastian;m;1993;Tröstau;Münchberg;Student;72;BY;237;Bayreuth;DIE LINKE;DIE LINKE;BY;DIE LINKE;DIE LINKE;12;;0
;;Sommerfeld;Klaus;m;1956;Erfurt;Konstanz;IT-Systemadministrator;43;;;;;;TH;PIRATEN;Piratenpartei Deutschland;9;;0
;;Sommerlatte-Hennig;Bettina;w;1966;Michendorf;Frankfurt (Oder);Wirtschaftsfachwirtin;71;BB;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;FREIE WÄHLER;FREIE WÄHLER;BB;FREIE WÄHLER;FREIE WÄHLER;1;;0
;;Somuncu;Serdar;m;1968;Berlin;Istanbul, Türkei;Kabarettist / Schriftsteller / Regisseur;94;BE;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;;;0
;;Sondermeyer;Ralf;m;1961;Hagen;Witten;Büroangestellter;71;NW;138;Hagen – Ennepe-Ruhr-Kreis I;DIE LINKE;DIE LINKE;;;;;;0
;;Sonntag;Annabelle;w;1990;Saarbrücken;Saarbrücken;Lehrerin;84;;;;;;SL;FDP;Freie Demokratische Partei;9;;0
;;Sorge;Alexander;m;1977;Bad Lauchstädt;Leipzig;selbst. Kommunikationsdesigner;23;ST;74;Mansfeld;DIE LINKE;DIE LINKE;;;;;;0
;;Sorge;Tino;m;1975;Magdeburg;Ilmenau;MdB / Rechtsanwalt;71;ST;69;Magdeburg;CDU;Christlich Demokratische Union Deutschlands;ST;CDU;Christlich Demokratische Union Deutschlands;3;X;1
;;Soyka;Robert;m;1981;Berlin;Wippra;Referent;84;BE;84;Berlin-Treptow-Köpenick;FREIE WÄHLER;FREIE WÄHLER;BE;FREIE WÄHLER;FREIE WÄHLER;1;;0
;;Spahn;Jens;m;1980;Ahaus;Ahaus;MdB / Bankkaufmann;71;NW;124;Steinfurt I – Borken I;CDU;Christlich Demokratische Union Deutschlands;;;;;X;1
;;Spahn;Wanda;w;1990;Stuttgart;Schlema;Übersetzerin;71;;;;;;BW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;7;;0
;;Spangenberg;Detlev;m;1944;Radebeul;Chemnitz;Dipl.-Betriebswirt;71;SN;151;Nordsachsen;AfD;Alternative für Deutschland;SN;AfD;Alternative für Deutschland;4;;2
Dr.;;Spaniel;Dirk;m;1971;Stuttgart;Marburg;Dipl.-Ingenieur;27;BW;258;Stuttgart I;AfD;Alternative für Deutschland;BW;AfD;Alternative für Deutschland;10;;2
;;Späth;Karlheinz;m;1960;Geislingen an der Steige;Leipheim;Softwareentwickler;43;;;;;;BW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;13;;0
;;Späth;Sarah;w;1988;Becheln;Bad Ems;Realschullehrerin;84;;;;;;RP;SPD;Sozialdemokratische Partei Deutschlands;26;;0
;;Spatz;Friedhelm;m;1957;Frankfurt am Main;Erbach (Odenwald);Dipl.-Ing. Elektrotechnik;26;;;;;;BY;DKP;Deutsche Kommunistische Partei;6;;0
;;Specker;Konrad;m;1972;Bad Heilbrunn;Bad Tölz;selbst. Bäckermeister;29;;;;;;BY;FREIE WÄHLER;FREIE WÄHLER;36;;0
;;Specker;Nicole;w;1970;Krefeld;Krefeld;kfm. Angestellte im Betriebsratsmanagement;71;NW;110;Krefeld I – Neuss II;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;28;;0
;;Speckin;Tobias;m;1977;Bad Münder am Deister;Hameln;Kfz.-Meister;25;;;;;;NI;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;15;;0
;;Speckmann;Marika;w;1964;Marburg;Halle (Westf.);Religionswissenschaftlerin;91;;;;;;HE;ÖDP;Ökologisch-Demokratische Partei;7;;0
;;Spengler;Udo Josef;m;1950;Hamburg;Düsseldorf;Lehrer i. R.;5;;;;;;HH;DKP;Deutsche Kommunistische Partei;3;;0
;;Sperl;David;m;1990;Gladbeck;Gladbeck;Altenpfleger;82;NW;125;Bottrop – Recklinghausen III;DIE LINKE;DIE LINKE;;;;;;0
;;Sperlich;Michael Reinhard;m;1947;Saarbrücken;Hützel;Sozialpädagoge;84;;;;;;SL;BGE;Bündnis Grundeinkommen;5;;0
;;Sperling;Roland;m;1961;Neuss;Karlsruhe;Rechtsanwalt;73;NW;108;Neuss I;DIE LINKE;DIE LINKE;;;;;;0
;von;Spiczak-Brzezinski;Anna;w;1986;Duisburg;Duisburg;Politikwissenschaftlerin;91;NW;115;Duisburg I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;;0
;;Spiecker;Rainer;m;1961;Wuppertal;Wuppertal;selbst. Kaufmann;61;NW;102;Wuppertal I;CDU;Christlich Demokratische Union Deutschlands;NW;CDU;Christlich Demokratische Union Deutschlands;31;;0
;;Spiegel;Sebastian Emanuel;m;1987;Dermbach;Bad Salzungen;Dozent;84;;;;;;TH;CDU;Christlich Demokratische Union Deutschlands;9;;0
;;Spiegelberg;Christian;m;1985;Limburg a.d. Lahn;Magdeburg;Sozialarbeiter;83;;;;;;HE;SPD;Sozialdemokratische Partei Deutschlands;39;;0
;;Spiegelhalder-Schäfer;Carmen;w;1965;Schramberg;Schramberg;Angestellte;71;BW;285;Rottweil – Tuttlingen;FREIE WÄHLER;FREIE WÄHLER;BW;FREIE WÄHLER;FREIE WÄHLER;2;;0
;;Spiekermann;Günther;m;1962;Bremen;Delmenhorst;Schlosser;24;;;;;;HB;FREIE WÄHLER;FREIE WÄHLER;3;;0
;;Spiering;Rainer;m;1956;Bad Rothenfelde;Dissen;MdB;71;NI;38;Osnabrück-Land;SPD;Sozialdemokratische Partei Deutschlands;NI;SPD;Sozialdemokratische Partei Deutschlands;9;X;2
;;Spies;Alexander;m;1955;Berlin;Frankfurt am Main;Softwareentwickler;43;BE;81;Berlin-Tempelhof-Schöneberg;PIRATEN;Piratenpartei Deutschland;BE;PIRATEN;Piratenpartei Deutschland;5;;0
;;Spies;Patrick;m;1987;Wadgassen;Saarbrücken;Finanzbeamter;73;;;;;;SL;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;1;;0
;;Spilker;Thomas Wilhelm Friedrich;m;1960;Essen;Essen;selbst. Kaufmann;61;NW;119;Essen II;FDP;Freie Demokratische Partei;;;;;;0
;;Spinrath;Norbert;m;1957;Geilenkirchen;Rheydt;Polizeibeamter;53;NW;89;Heinsberg;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;23;X;0
;;Spohler;Jakob Arne Moshe;m;1997;Hamburg;Ovelgönne;soz.-päd. Assistent;83;;;;;;HH;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;4;;0
;;Sporkmann;Carsten;m;1970;Brühl;Hann. Münden;Sozialberater;83;;;;;;NW;BGE;Bündnis Grundeinkommen;15;;0
;;Sprick;Jürgen;m;1958;Petershagen;Uchte;Kaufmann;61;NW;134;Minden-Lübbecke I;AfD;Alternative für Deutschland;;;;;;0
;;Springer;Eva-Marie Elisabeth Gisela;w;1956;Höchstädt a.d.Donau;Bad Homburg v. d. Höhe;Finanzspezialistin (EAFP);72;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;29;;0
;;Springer;Marian Anton;m;1944;Höchstädt a.d.Donau;Mährisch-Ostrau;Rentner;5;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;30;;0
;;Springer;René;m;1979;Potsdam;Berlin;Angestellter;71;BB;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;AfD;Alternative für Deutschland;BB;AfD;Alternative für Deutschland;3;;2
;;Spring-Räumschüssel;Helene Marianne;w;1946;Cottbus;Guben;Ingenieurökonomin;71;BB;64;Cottbus – Spree-Neiße;AfD;Alternative für Deutschland;;;;;;0
;;Sprößler;Christel;w;1968;Roßdorf;Frankfurt am Main;Bürgermeisterin;71;HE;186;Darmstadt;SPD;Sozialdemokratische Partei Deutschlands;HE;SPD;Sozialdemokratische Partei Deutschlands;12;;0
;;Stadelmann;Walter;m;1962;Schwarzenbruck;Martinsheim;Diakon;83;BY;246;Roth;ÖDP;Ökologisch-Demokratische Partei;;;;;;0
;;Stader;Stefan Maria;m;1957;Berlin;Rheydt;wiss. Referent;84;ST;70;Dessau – Wittenberg;SPD;Sozialdemokratische Partei Deutschlands;ST;SPD;Sozialdemokratische Partei Deutschlands;9;;0
;;Stadler;Georg Rudolf;m;1987;Zwiesel;Zwiesel;Beamter;73;;;;;;BY;FREIE WÄHLER;FREIE WÄHLER;41;;0
;;Stadler;Svenja;w;1976;Seevetal;Oldenburg (Oldenburg);MdB / Senior-PR-Beraterin;71;NI;36;Harburg;SPD;Sozialdemokratische Partei Deutschlands;NI;SPD;Sozialdemokratische Partei Deutschlands;8;X;2
;;Städter;Peter;m;1971;Erfurt;Erfurt;Lehrer;84;TH;193;Erfurt – Weimar – Weimarer Land II;PIRATEN;Piratenpartei Deutschland;TH;PIRATEN;Piratenpartei Deutschland;3;;0
;;Stadtmann;Matthias;m;1969;Essen;Essen;Lehrer;84;;;;;;NW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;12;;0
;;Staffehl;Katja;w;1982;Nordhausen;Nordhausen;Krankenschwester;81;;;;;;TH;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;5;;0
;;Staffler;Katrin;w;1981;Türkenfeld;Dachau;Biochemikerin (M. Sc.);41;BY;215;Fürstenfeldbruck;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;19;;1
;;Stahl;Marcus;m;1979;Großefehn;Thedinghausen;Hausmann;6;NI;24;Aurich – Emden;DIE LINKE;DIE LINKE;;;;;;0
;;Stahl;Yvonne Jessica Madelaine;w;1991;Marburg;Wetzlar;Studentin;4;;;;;;HE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;19;;0
;;Stähle;Johanna;w;1987;Horn-Bad Meinberg;Moers;Erzieherin / Tagesmutter;83;;;;;;NW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;28;;0
