# (c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Berufsschlüssel;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur;"Gewählt: 1=über Wkr; 2=über LL"
;;Appoh;Mark Adrian;m;1985;Frankfurt am Main;Würzburg;Kommunikationsberater;81;;;;;;HE;BGE;Bündnis Grundeinkommen;4;;0
;;Araki;Chaker;m;1972;Berlin;Beirut;Dipl.-Ing. Fahrzeugtechnik;25;BE;78;Berlin-Spandau – Charlottenburg Nord;MLPD;Marxistisch-Leninistische Partei Deutschlands;BE;MLPD;Marxistisch-Leninistische Partei Deutschlands;2;;0
;;Archner;Roman;m;1980;Berlin;Berlin;Webdesigner;23;BE;81;Berlin-Tempelhof-Schöneberg;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;68;;0
;;Arend-Langenbach;Kerstin;w;1971;Sankt Goar;Oberwesel;Dipl.-Betriebswirtin;71;;;;;;RP;CDU;Christlich Demokratische Union Deutschlands;21;;0
;;Arens;Marianne;w;1952;Frankfurt am Main;Bern, Schweiz;techn. Zeichnerin i. R.;5;HE;182;Frankfurt am Main I;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;;;;;;0
;;Arenz;Udo Peter;m;1964;Kelkheim (Taunus);Leverkusen;Produktmanager;92;;;;;;HE;ÖDP;Ökologisch-Demokratische Partei;2;;0
;;Aretz;Henning;m;1956;Essen;Bonn;Volljurist / Partner einer M&A-Gesellschaft;73;;;;;;NW;CDU;Christlich Demokratische Union Deutschlands;59;;0
;;Arifi;Krenar;m;1964;Landsberg am Lech;Tirana, Albanien;Organisator;71;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;32;;0
;;Armbrüster;Ralf;m;1970;Blieskastel;Landau in der Pfalz;IT-Unternehmer;43;;;;;;SL;FDP;Freie Demokratische Partei;10;;0
;;Arndt;Alfred Jakob;m;1949;Mörfelden-Walldorf;Mörfelden;Rentner;5;;;;;;HE;DKP;Deutsche Kommunistische Partei;15;;0
;;Arndt;Hans;m;1957;Ludwigshafen am Rhein;Eitorf;Kraftwerksmeister;26;RP;207;Ludwigshafen/Frankenthal;FREIE WÄHLER;FREIE WÄHLER;RP;FREIE WÄHLER;FREIE WÄHLER;9;;0
;;Arndt;Helena;w;1982;Göttingen;Duschanbe, Tadschikistan;Politikwissenschaftlerin;91;;;;;;NI;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;2;;0
;;Arndt;Klaus Joachim;m;1966;Braunschweig;Hofgeismar;Dipl.-Ing. / Fachschullehrer;84;;;;;;NI;ÖDP;Ökologisch-Demokratische Partei;3;;0
;;Arndt-Brauer;Ingrid;w;1961;Horstmar;Marburg;MdB / Dipl.-Kauffrau / Dipl.-Soziologin;71;NW;124;Steinfurt I – Borken I;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;14;X;2
;;Arnecke;Dagmar;w;1951;Berlin;Halle (Saale);Rentnerin;5;BE;86;Berlin-Lichtenberg;MLPD;Marxistisch-Leninistische Partei Deutschlands;;;;;;0
;;Arnold;Alexander;m;1991;Weitramsdorf;Coburg;Student;4;BY;238;Coburg;FDP;Freie Demokratische Partei;BY;FDP;Freie Demokratische Partei;46;;0
;;Arnold;Bendrick;m;1946;Aschaffenburg;Berlin;Rentner;5;BY;247;Aschaffenburg;MLPD;Marxistisch-Leninistische Partei Deutschlands;BY;MLPD;Marxistisch-Leninistische Partei Deutschlands;17;;0
;;Arpaschi;Alexander;m;1970;Karlsruhe;Karlsruhe;Dipl.-Ing. Maschinenbau;27;BW;272;Karlsruhe-Land;AfD;Alternative für Deutschland;;;;;;0
;;Aschenbach;Maximilian Bernd;m;1985;Dresden;Erfurt;Künstler;93;;;;;;SN;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;6;;0
;;Aschenberg-Dugnus;Christine;w;1959;Strande;Eppstein / Ts.;Rechtsanwältin;73;SH;4;Rendsburg-Eckernförde;FDP;Freie Demokratische Partei;SH;FDP;Freie Demokratische Partei;3;;2
;;Aschenbrenner;Arnold;m;1951;Essen;Soltendieck;Fernmeldemonteur;26;BY;216;Ingolstadt;MLPD;Marxistisch-Leninistische Partei Deutschlands;;;;;;0
Dr.;;Aschenbrenner;Doris;w;1985;Gerbrunn;Coburg;Dipl.-Informatikerin Robotik;43;BY;238;Coburg;SPD;Sozialdemokratische Partei Deutschlands;BY;SPD;Sozialdemokratische Partei Deutschlands;28;;0
;;Assenmacher;Adrian;m;1989;Trier;Kaiserslautern;wiss. Mitarbeiter;84;RP;203;Trier;FDP;Freie Demokratische Partei;RP;FDP;Freie Demokratische Partei;14;;0
;;Aßmann;Mario;m;1964;Meißen;Dresden;Tierheimleiter;11;;;;;;SN;AfD;Alternative für Deutschland;17;;0
